,task,group,#_tfr,h,p,eta2,median,median_diff
0,t2,1,51,1.9735204855842121,0.16007467759741328,0.05408447142134512,2.5,-2.5
1,t2,2,72,0.07053030303029616,0.7905662189528418,-0.051637205387205766,5.0,0.0
2,t2,3,21,8.44834488067745,0.0036537580738509293,0.4137969378154139,2.0,-3.0
